,Brand,Varieties,Type,Centi_liter,Year,ABV_Percent,Price
92,Blanton's,Straight From The Barrel - Single Cask #418,Barrel,70cl,,8% ABV,£169.95
93,Blanton's,Straight From The Barrel - Single Cask #427,Barrel,70cl,,8% ABV,£199.95
94,William Larue Weller,Full Proof Bourbon,Bourbon,75cl,,57% ABV,£249.95
95,Stagg Jr,Batch 23C Barrel Proof Kentucky Straight Bourbon,Barrel,75cl,,95% ABV,£279.95
96,Buffalo Trace,Ice Mould & Kentucky Straight Bourbon,Kentucky,70cl,,40% ABV,£29.95
97,Buffalo Trace,Rock Hill Farms Single Barrel Bourbon,Barrel,70cl,,50% ABV,£459.95
98,Blanton's,Straight From The Barrel - Single Cask #1461,Barrel,70cl,,7% ABV,£199.95
99,Blanton's,Straight From The Barrel - Single Cask #2174,Barrel,70cl,,7% ABV,£299.95
100,Bushmills,Single Malt Rare Irish,Irish,70cl,30 Year Old,46% ABV,"£1,899.95"
101,Bushmills,Single Malt Rare Irish,Irish,70cl,25 Year Old,46% ABV,£789.95
102,Bushmills,Irish Single Malt,Irish,70cl,10 Year Old,40% ABV,£47.95
103,Bushmills,Irish Single Malt,Irish,70cl,21 Year Old,40% ABV,£215.95
104,Bushmills,American Oak Cask Finish Irish,American,70cl,,40% ABV,£29.95
105,Bushmills,Caribbean Rum Cask Finish,,70cl,,40% ABV,£30.95
106,Bushmills,Original & Black Bush 35cl Gift Pack,,35cl,,40% ABV,£31.95
107,Bushmills,Original Irish,Irish,70cl,,40% ABV,£27.95
108,Bushmills,Black Bush Irish,Irish,70cl,,40% ABV,£34.95
109,Bushmills,Highball Glass & American Oak Cask Finish Irish,American,70cl,,40% ABV,£31.95
110,Bushmills,Highball Glass & Irish Single Malt,Irish,70cl,10 Year Old,40% ABV,£48.95
111,Bushmills,Highball Glass & Caribbean Rum Cask Finish,,70cl,,40% ABV,£31.95
112,Bushmills,Highball Glass & Original Irish,Irish,70cl,,40% ABV,£28.95
113,Bushmills,Highball Glass & Black Bush Irish,Irish,70cl,,40% ABV,£38.95
114,Bushmills,Coaster & Irish Single Malt,Irish,70cl,10 Year Old,40% ABV,£42.95
115,Bushmills,Irish Single Malt,Irish,70cl,10 Year Old,40% ABV,£42.95
116,Bushmills,Branded Glass & Caribbean Rum Cask Finish,,70cl,,40% ABV,£28.95
117,Bushmills,Branded Glass & Original Irish,Irish,70cl,,40% ABV,£28.95
